date,region,product,units,revenue,customer_rating
2024-01-01,South,Tablet,26,2022.62,3.1
2024-01-02,North,Monitor,24,1831.81,4.8
2024-01-03,North,Phone,6,1414.21,3.1
2024-01-04,West,Laptop,4,2515.19,3.2
2024-01-05,North,Phone,37,1839.52,3.1
2024-01-06,North,Phone,36,2603.71,3.6
2024-01-07,North,Phone,37,1063.75,4.6
2024-01-08,North,Phone,38,1799.37,3.4
2024-01-09,North,Laptop,37,366.88,3.4
2024-01-10,West,Monitor,50,1079.61,4.2
2024-01-11,East,Headphones,20,895.59,3.4
2024-01-12,North,Phone,37,1040.7,4.0
2024-01-13,West,Tablet,19,1905.09,3.1
2024-01-14,West,Monitor,11,2319.99,3.3
2024-01-15,West,Headphones,3,2893.65,3.2
2024-01-16,East,Monitor,22,2146.83,4.2
2024-01-17,West,Monitor,5,2551.91,4.9
2024-01-18,North,Headphones,4,2247.25,3.6
2024-01-19,West,Monitor,19,2206.56,4.8
2024-01-20,North,Tablet,30,1195.3,4.2
2024-01-21,North,Headphones,14,2351.05,3.3
2024-01-22,West,Phone,26,2767.09,4.0
2024-01-23,West,Phone,26,1738.43,4.8
2024-01-24,East,Headphones,46,1362.83,3.7
2024-01-25,South,Headphones,10,432.36,3.3
2024-01-26,North,Phone,32,2527.06,3.4
2024-01-27,North,Tablet,10,1373.05,3.7
2024-01-28,East,Monitor,9,2133.38,4.0
2024-01-29,North,Monitor,30,2718.69,4.6
2024-01-30,West,Monitor,26,1317.14,3.2
2024-01-31,North,Headphones,13,388.57,3.4
2024-02-01,North,Phone,22,1882.04,3.2
2024-02-02,South,Monitor,35,484.1,3.7
2024-02-03,North,Laptop,14,1919.39,3.3
2024-02-04,East,Tablet,39,1219.66,3.2
2024-02-05,West,Headphones,31,1554.74,3.2
2024-02-06,East,Laptop,48,941.32,4.7
2024-02-07,North,Phone,14,2862.76,4.1
2024-02-08,North,Phone,49,1678.71,5.0
2024-02-09,East,Laptop,34,1226.76,3.3
2024-02-10,East,Phone,41,824.52,4.6
2024-02-11,South,Phone,26,2271.64,3.5
2024-02-12,West,Monitor,23,2246.81,5.0
2024-02-13,West,Tablet,17,742.21,4.2
2024-02-14,West,Tablet,47,2966.51,4.9
2024-02-15,North,Tablet,15,486.04,3.9
2024-02-16,South,Tablet,31,1947.39,4.8
2024-02-17,West,Laptop,42,1163.22,4.3
2024-02-18,West,Laptop,46,2300.39,4.0
2024-02-19,West,Phone,41,1131.05,4.6
2024-02-20,West,Headphones,26,2281.39,3.2
2024-02-21,South,Phone,9,277.14,4.2
2024-02-22,South,Headphones,40,2514.23,5.0
2024-02-23,South,Tablet,36,1735.2,3.0
2024-02-24,South,Laptop,28,2962.34,3.4
2024-02-25,North,Phone,17,795.78,4.0
2024-02-26,East,Monitor,17,1724.19,4.7
2024-02-27,East,Laptop,30,2054.93,4.6
2024-02-28,West,Monitor,33,566.14,3.3
2024-02-29,North,Monitor,29,2374.22,4.2
2024-03-01,South,Phone,10,1525.78,4.5
2024-03-02,North,Monitor,21,2110.53,4.1
2024-03-03,North,Headphones,36,359.1,3.4
2024-03-04,North,Laptop,33,1466.09,3.1
2024-03-05,West,Laptop,21,1915.08,4.0
2024-03-06,South,Monitor,45,976.12,4.0
2024-03-07,South,Headphones,45,1664.99,4.8
2024-03-08,South,Tablet,29,583.98,3.2
2024-03-09,East,Headphones,5,2079.24,3.9
2024-03-10,East,Phone,8,2711.67,3.3
2024-03-11,South,Tablet,17,2671.93,4.9
2024-03-12,North,Phone,26,2677.81,3.3
2024-03-13,South,Phone,46,1408.26,4.0
2024-03-14,West,Tablet,13,1198.52,3.2
2024-03-15,North,Tablet,22,1751.34,3.9
2024-03-16,West,Laptop,22,1648.81,3.6
2024-03-17,North,Laptop,15,2920.75,3.2
2024-03-18,East,Tablet,3,2736.52,3.4
2024-03-19,West,Phone,44,2493.14,3.5
2024-03-20,West,Phone,45,1115.74,3.6
2024-03-21,West,Phone,5,952.99,3.0
2024-03-22,East,Laptop,6,1902.9,3.4
2024-03-23,North,Tablet,30,232.33,5.0
2024-03-24,East,Headphones,40,561.83,4.1
2024-03-25,North,Phone,11,933.31,3.4
2024-03-26,East,Tablet,34,2326.6,3.6
2024-03-27,South,Monitor,18,1171.6,3.0
2024-03-28,North,Tablet,1,251.61,4.0
2024-03-29,West,Phone,16,2817.0,3.2
2024-03-30,West,Headphones,35,2536.92,3.8
2024-03-31,East,Monitor,45,802.51,3.5
2024-04-01,South,Phone,26,2970.43,5.0
2024-04-02,North,Phone,5,1951.26,4.8
2024-04-03,South,Headphones,4,436.56,4.7
2024-04-04,East,Monitor,39,878.2,3.6
2024-04-05,South,Headphones,11,953.3,3.0
2024-04-06,East,Tablet,36,1105.89,3.1
2024-04-07,South,Tablet,23,712.28,3.7
2024-04-08,West,Laptop,18,1607.74,3.4
2024-04-09,North,Monitor,6,939.67,3.2
2024-04-10,North,Headphones,26,262.98,3.6
2024-04-11,North,Phone,38,2881.38,4.7
2024-04-12,West,Phone,49,1113.18,5.0
2024-04-13,East,Phone,47,1932.38,3.3
2024-04-14,West,Monitor,47,2162.95,4.0
2024-04-15,North,Monitor,44,1835.37,4.8
